Station,Year,Month,Day,Rain,RelHum,Tmax,Tmin
Kankan,1950,01,01,0,,35.8,13
Kankan,1950,01,02,0,,34.8,15.6
Kankan,1950,01,03,0,,34.7,18
Kankan,1950,01,04,0,,33.9,19.7
Kankan,1950,01,05,0,,33.8,14
Kankan,1950,01,06,0,,31.2,12.4
Kankan,1950,01,07,0,,33,11.9
Kankan,1950,01,08,0,,34.4,18.4
Kankan,1950,01,09,0,,34.3,13.2
Kankan,1950,01,10,0,,33.5,12.5
Kankan,1950,01,11,0,,33.3,12.6
Kankan,1950,01,12,0,,33.5,12.5
Kankan,1950,01,13,0,,32,11
Kankan,1950,01,14,0,,29.2,12.3
Kankan,1950,01,15,0,,30.1,11.3
Kankan,1950,01,16,0,,30.4,10.8
Kankan,1950,01,17,0,,31.8,11
Kankan,1950,01,18,0,,33,12.5
Kankan,1950,01,19,0,,33.1,12.7
Kankan,1950,01,20,0,,33.2,14
Kankan,1950,01,21,0,,34.6,13.9
Kankan,1950,01,22,0,,34.3,12.8
Kankan,1950,01,23,0,,34.3,13.6
Kankan,1950,01,24,0,,33.6,14.6
Kankan,1950,01,25,0,,33.6,14.5
Kankan,1950,01,26,0,,34.3,14.2
Kankan,1950,01,27,0,,35.4,13
Kankan,1950,01,28,0,,34.7,13.8
Kankan,1950,01,29,0,,33.6,19
Kankan,1950,01,30,0,,32.2,16
Kankan,1950,01,31,0,,34.8,12.5
Kankan,1950,02,01,12.2,,34.6,17.8
Kankan,1950,02,02,0,,29,19.6
Kankan,1950,02,03,0,,30.2,21
Kankan,1950,02,04,0,,32,17.6
Kankan,1950,02,05,0,,30.2,16.3
Kankan,1950,02,06,0,,31.6,15.3
Kankan,1950,02,07,0,,31.8,14.8
Kankan,1950,02,08,0,,31.5,16.8
Kankan,1950,02,09,0,,32.9,12.2
Kankan,1950,02,10,0,,33,13.6
Kankan,1950,02,11,0,,34,13.5
Kankan,1950,02,12,0,,34.9,13.1
Kankan,1950,02,13,0,,36,15.7
Kankan,1950,02,14,0,,36.4,15
Kankan,1950,02,15,0,,36.1,18
Kankan,1950,02,16,0,,37.1,17.5
Kankan,1950,02,17,0,,37.8,15.4
