station,year,month,day,rain,rel_hum,tmax,tmin
Kankan,1950,1,1,0,,35.8,13
Kankan,1950,1,2,0,,34.8,15.6
Kankan,1950,1,3,0,,34.7,18
Kankan,1950,1,4,0,,33.9,19.7
Kankan,1950,1,5,0,,33.8,14
Kankan,1950,1,6,0,,31.2,12.4
Kankan,1950,1,7,0,,33,11.9
Kankan,1950,1,8,0,,34.4,18.4
Kankan,1950,1,9,0,,34.3,13.2
Kankan,1950,1,10,0,,33.5,12.5
Kankan,1950,1,11,0,,33.3,12.6
Kankan,1950,1,12,0,,33.5,12.5
Kankan,1950,1,13,0,,32,11
Kankan,1950,1,14,0,,29.2,12.3
Kankan,1950,1,15,0,,30.1,11.3
Kankan,1950,1,16,0,,30.4,10.8
Kankan,1950,1,17,0,,31.8,11
Kankan,1950,1,18,0,,33,12.5
Kankan,1950,1,19,0,,33.1,12.7
Kankan,1950,1,20,0,,33.2,14
Kankan,1950,1,21,0,,34.6,13.9
Kankan,1950,1,22,0,,34.3,12.8
Kankan,1950,1,23,0,,34.3,13.6
Kankan,1950,1,24,0,,33.6,14.6
Kankan,1950,1,25,0,,33.6,14.5
Kankan,1950,1,26,0,,34.3,14.2
Kankan,1950,1,27,0,,35.4,13
Kankan,1950,1,28,0,,34.7,13.8
Kankan,1950,1,29,0,,33.6,19
Kankan,1950,1,30,0,,32.2,16
Kankan,1950,1,31,0,,34.8,12.5
Kankan,1950,2,1,12.2,,34.6,17.8
Kankan,1950,2,2,0,,29,19.6
Kankan,1950,2,3,0,,30.2,21
Kankan,1950,2,4,0,,32,17.6
Kankan,1950,2,5,0,,30.2,16.3
Kankan,1950,2,6,0,,31.6,15.3
Kankan,1950,2,7,0,,31.8,14.8
Kankan,1950,2,8,0,,31.5,16.8
Kankan,1950,2,9,0,,32.9,12.2
Kankan,1950,2,10,0,,33,13.6
Kankan,1950,2,11,0,,34,13.5
Kankan,1950,2,12,0,,34.9,13.1
Kankan,1950,2,13,0,,36,15.7
Kankan,1950,2,14,0,,36.4,15
Kankan,1950,2,15,0,,36.1,18
Kankan,1950,2,16,0,,37.1,17.5
Kankan,1950,2,17,0,,37.8,15.4
Kankan,1950,2,18,0,,37,16.4
Kankan,1950,2,19,0,,36,20.5
Kankan,1950,2,20,0,,36.1,21.8
Kankan,1950,2,21,0,,36.6,21.5
Kankan,1950,2,22,0,,36.8,23
Kankan,1950,2,23,0,,34.8,24.9
Kankan,1950,2,24,0,,36.3,15.8
Kankan,1950,2,25,0,,36.9,15.5
Kankan,1950,2,26,0,,37.4,15.2
Kankan,1950,2,27,0,,36.3,16.6
Kankan,1950,2,28,0,,36.5,16
Kankan,1950,3,1,0,,36.2,19
Kankan,1950,3,2,0,,35.8,18.2
Kankan,1950,3,3,0,,35.8,17.7
Kankan,1950,3,4,0,,36,17
Kankan,1950,3,5,0,,37,21.8
Kankan,1950,3,6,0,,37.5,18.3
Kankan,1950,3,7,0,,37.1,17.8
Kankan,1950,3,8,0,,36.5,17.5
Kankan,1950,3,9,0,,35.9,15.4
Kankan,1950,3,10,0,,36.3,15
Kankan,1950,3,11,0,,37,14.2
Kankan,1950,3,12,0,,36.7,15.3
Kankan,1950,3,13,0,,37.3,16
Kankan,1950,3,14,0,,37.7,19.5
Kankan,1950,3,15,0,,37.2,23.4
Kankan,1950,3,16,0,,36.6,23.2
Kankan,1950,3,17,0,,37.4,21.6
Kankan,1950,3,18,0,,37.6,15.2
Kankan,1950,3,19,0,,37,19.8
Kankan,1950,3,20,0,,36.1,21.3
Kankan,1950,3,21,0,,36.7,24
Kankan,1950,3,22,0,,36.3,24.8
Kankan,1950,3,23,0,,35,24.4
Kankan,1950,3,24,0,,37.3,24.1
Kankan,1950,3,25,0,,36.5,23.8
Kankan,1950,3,26,0,,37.7,19
Kankan,1950,3,27,0,,37.2,19.6
Kankan,1950,3,28,0,,37.7,25.2
Kankan,1950,3,29,0,,34.2,25.5
Kankan,1950,3,30,4.6,,37.6,25.5
Kankan,1950,3,31,4.5,,34,23
Kankan,1950,4,1,0,,36.8,22.5
Kankan,1950,4,2,0,,36.6,19.7
Kankan,1950,4,3,0,,37,18.3
Kankan,1950,4,4,0,,38,21.2
Kankan,1950,4,5,0,,37.8,20
Kankan,1950,4,6,0,,38.5,17.6
Kankan,1950,4,7,0,,37.3,21.2
Kankan,1950,4,8,0.5,,37,26.2
Kankan,1950,4,9,0,,36,24
Kankan,1950,4,10,9,,36.5,24.8
Kankan,1950,4,11,0,,35.6,22.6
Kankan,1950,4,12,0,,36.5,22.7
Kankan,1950,4,13,4.1,,35,25
Kankan,1950,4,14,2.5,,30.4,21.6
Kankan,1950,4,15,0,,35,23
Kankan,1950,4,16,0,,35.7,25.3
Kankan,1950,4,17,0.5,,33.5,24
Kankan,1950,4,18,0,,35.6,23.8
Kankan,1950,4,19,0,,36.2,25.4
Kankan,1950,4,20,0,,35,25
Kankan,1950,4,21,0,,36.5,24.8
Kankan,1950,4,22,0,,35.8,25.9
Kankan,1950,4,23,0,,37.4,25.3
Kankan,1950,4,24,0,,30.7,23.1
Kankan,1950,4,25,0,,35,24
Kankan,1950,4,26,0,,35,24.4
Kankan,1950,4,27,0,,35.1,26.4
Kankan,1950,4,28,0,,35.7,25.4
Kankan,1950,4,29,0,,35.4,25.3
Kankan,1950,4,30,0,,34.8,24
Kankan,1950,5,1,2.1,,35,24.7
Kankan,1950,5,2,1.4,,35,23.4
Kankan,1950,5,3,3.7,,36.2,24.3
Kankan,1950,5,4,0,,36,24.3
Kankan,1950,5,5,0,,34,24
Kankan,1950,5,6,0,,36.5,24.3
Kankan,1950,5,7,0,,37.4,25
Kankan,1950,5,8,0,,35.6,26
Kankan,1950,5,9,8.2,,35.3,25.2
Kankan,1950,5,10,0,,34.4,21
Kankan,1950,5,11,31.5,,33.7,23.5
Kankan,1950,5,12,0,,33.2,19.9
Kankan,1950,5,13,0,,36.2,24.4
Kankan,1950,5,14,0,,36.4,25.8
Kankan,1950,5,15,4.3,,35.5,25.3
Kankan,1950,5,16,14.7,,35.9,24
Kankan,1950,5,17,0,,33.8,21
Kankan,1950,5,18,0,,34.3,24
Kankan,1950,5,19,0,,34.5,23.5
Kankan,1950,5,20,0,,36.2,23.6
Kankan,1950,5,21,0,,36.3,22.6
Kankan,1950,5,22,0,,35.2,24
Kankan,1950,5,23,0.8,,35.3,25.2
Kankan,1950,5,24,0,,35.8,23
Kankan,1950,5,25,38.3,,28.2,20
Kankan,1950,5,26,1.3,,33.2,22
Kankan,1950,5,27,0,,33.5,22.9
Kankan,1950,5,28,0,,34.5,23.2
Kankan,1950,5,29,5.2,,34.7,24
Kankan,1950,5,30,12.6,,34,21.6
Kankan,1950,5,31,0,,33.7,19.8
Kankan,1950,6,1,4.3,,27.6,21
Kankan,1950,6,2,0,,31.2,20.4
Kankan,1950,6,3,0,,32.3,22.5
Kankan,1950,6,4,0,,34.3,23.3
Kankan,1950,6,5,0,,31.3,22.8
Kankan,1950,6,6,33.5,,32.3,21.2
Kankan,1950,6,7,17.8,,31.3,21
Kankan,1950,6,8,5.3,,27.8,21.7
Kankan,1950,6,9,24.2,,25.2,20.9
Kankan,1950,6,10,0.2,,30.8,17.8
Kankan,1950,6,11,24.8,,29.4,19.4
Kankan,1950,6,12,0,,32.6,20.3
Kankan,1950,6,13,0,,32.6,22.2
Kankan,1950,6,14,0.6,,29.7,21.3
Kankan,1950,6,15,0,,32.5,21.7
Kankan,1950,6,16,0,,32.7,23.2
Kankan,1950,6,17,0,,32.9,23
Kankan,1950,6,18,0,,32.8,23.5
Kankan,1950,6,19,12.5,,26.9,21
Kankan,1950,6,20,0,,31.7,20.4
Kankan,1950,6,21,20.5,,30.8,22
Kankan,1950,6,22,0,,33.4,21.4
Kankan,1950,6,23,5,,31.2,20.8
Kankan,1950,6,24,0,,30,20.8
Kankan,1950,6,25,52,,31.6,22
Kankan,1950,6,26,0,,28.5,19.2
Kankan,1950,6,27,0,,30.8,20.9
Kankan,1950,6,28,0,,30.7,22.5
Kankan,1950,6,29,0,,31.5,21
Kankan,1950,6,30,8,,29,19.6
Kankan,1950,7,1,0,,29.4,20.8
Kankan,1950,7,2,8.4,,31.5,21.5
Kankan,1950,7,3,0,,30,19
Kankan,1950,7,4,7.7,,30,21.3
Kankan,1950,7,5,0,,30.8,20
Kankan,1950,7,6,22.1,,31,21.4
Kankan,1950,7,7,0,,29.8,20
Kankan,1950,7,8,1.2,,29.8,21.7
Kankan,1950,7,9,19.7,,28,20.8
Kankan,1950,7,10,28,,25.7,20.7
Kankan,1950,7,11,2.5,,28,22.3
Kankan,1950,7,12,0,,29,20.5
Kankan,1950,7,13,14.1,,29.5,21.4
Kankan,1950,7,14,43.5,,27.9,19.4
Kankan,1950,7,15,0,,29.5,20.4
Kankan,1950,7,16,11.1,,29.2,22
Kankan,1950,7,17,3.8,,25,20.3
Kankan,1950,7,18,0.5,,26.9,19.8
Kankan,1950,7,19,0,,28.6,19.7
Kankan,1950,7,20,0,,30.2,20.4
Kankan,1950,7,21,37.5,,29,21.9
Kankan,1950,7,22,0,,27.7,18.9
Kankan,1950,7,23,0,,29.8,20
Kankan,1950,7,24,38.3,,27.7,21
Kankan,1950,7,25,0,,29.5,21.5
Kankan,1950,7,26,0,,29.5,21.4
Kankan,1950,7,27,0.6,,28.1,21.4
Kankan,1950,7,28,0.7,,29,20.8
Kankan,1950,7,29,88.2,,28.8,20.9
Kankan,1950,7,30,21.1,,27.9,19.6
Kankan,1950,7,31,43,,28.2,20
Kankan,1950,8,1,8,,27.1,20.8
Kankan,1950,8,2,19.1,,28.1,21.2
Kankan,1950,8,3,14.9,,25.8,21.6
Kankan,1950,8,4,0,,26.9,20.8
Kankan,1950,8,5,0,,28.9,21.4
Kankan,1950,8,6,0,,28.7,22
Kankan,1950,8,7,5.5,,27,21.1
Kankan,1950,8,8,18.3,,29.2,20.9
Kankan,1950,8,9,0,,26.7,20.4
Kankan,1950,8,10,0,,26.7,21.3
Kankan,1950,8,11,3.6,,28.5,21.3
Kankan,1950,8,12,3.5,,28,21.4
Kankan,1950,8,13,3,,28.9,21.3
Kankan,1950,8,14,8.5,,28,21.4
Kankan,1950,8,15,9.9,,28.2,21.2
Kankan,1950,8,16,0,,26.5,20.7
Kankan,1950,8,17,0.7,,27.9,20
Kankan,1950,8,18,19,,23.8,21
Kankan,1950,8,19,0.3,,25.4,20.3
Kankan,1950,8,20,0.8,,26.6,20.7
Kankan,1950,8,21,0,,25.7,20.3
Kankan,1950,8,22,0,,27.3,20.3
Kankan,1950,8,23,8.2,,28.2,21.5
Kankan,1950,8,24,0.4,,27.6,21.1
Kankan,1950,8,25,0,,28.2,20.9
Kankan,1950,8,26,0,,29.8,20.5
Kankan,1950,8,27,1.7,,29.5,21.2
Kankan,1950,8,28,2.2,,28.7,21.5
Kankan,1950,8,29,6,,26.2,21
Kankan,1950,8,30,0.3,,28.8,20.9
Kankan,1950,8,31,17.9,,23.6,19.4
Kankan,1950,9,1,25.3,,30.3,19.6
Kankan,1950,9,2,0.5,,27.8,20.7
Kankan,1950,9,3,6.7,,28,21
Kankan,1950,9,4,8.2,,26.9,20.5
Kankan,1950,9,5,0,,29.8,20.6
Kankan,1950,9,6,13,,30.5,21.5
Kankan,1950,9,7,64.8,,29.2,21.3
Kankan,1950,9,8,0,,28.6,20.7
Kankan,1950,9,9,1.8,,28.5,21
Kankan,1950,9,10,0.5,,28.3,21
Kankan,1950,9,11,9.6,,30.8,21
Kankan,1950,9,12,17.7,,30.1,21
Kankan,1950,9,13,8.1,,30.3,21.8
Kankan,1950,9,14,0.3,,30.8,19.4
Kankan,1950,9,15,0.9,,30.5,21.5
Kankan,1950,9,16,0.4,,28.5,21.4
Kankan,1950,9,17,0,,28.6,21.5
Kankan,1950,9,18,20.7,,31,21.4
Kankan,1950,9,19,0.5,,31.5,21.3
Kankan,1950,9,20,18.5,,31.5,21.2
Kankan,1950,9,21,11.8,,30.8,21
Kankan,1950,9,22,36.8,,29.3,20
Kankan,1950,9,23,1,,30,21.2
Kankan,1950,9,24,0.6,,26.6,21.5
Kankan,1950,9,25,7.5,,31.9,20.9
Kankan,1950,9,26,16.6,,29.3,20.8
Kankan,1950,9,27,0,,30.2,20.5
Kankan,1950,9,28,15.8,,31.5,21.5
Kankan,1950,9,29,16.2,,25.5,19.7
Kankan,1950,9,30,3.1,,30.8,21.4
Kankan,1950,10,1,15.1,,30.5,20.1
Kankan,1950,10,2,1.2,,30.5,19.8
Kankan,1950,10,3,0,,31.1,21
